@relation semantic-similarity

@attribute paragraphVec REAL
@attribute qGram	REAL
@attribute class	REAL

@data
0.8433306092403589,0.4055944085121155,4.0
0.7777945273467922,0.3442623019218445,3.0
0.613159196073324,0.20279717445373535,2.4
0.877335769081198,0.4625850319862366,3.6
0.8646339586987613,0.4104234576225281,3.2
0.7878352638933687,0.2875816822052002,3.4
0.6269290730359367,0.10300427675247192,1.6
0.7813028798566044,0.33195018768310547,3.0
0.5914289333880964,0.18028169870376587,1.4
0.7466930236056153,0.19620251655578613,3.0
0.7456407254103063,0.37317782640457153,3.2
0.6509511767229227,0.09282702207565308,0.8
0.8165312352680263,0.2857142686843872,2.6
0.6984052906577725,0.34532374143600464,2.2
0.9037527457476705,0.3999999761581421,2.8
0.8004864216944915,0.42016804218292236,3.6
0.8200718909173198,0.3265306353569031,2.8
0.7022328710729053,0.158730149269104,1.4
0.8001421953540753,0.4427480697631836,3.0
0.872287755625371,0.2774869203567505,2.0
0.8140865294965017,0.3272727131843567,2.8
0.7755532999415827,0.11428570747375488,0.8
0.7703750035850153,0.4438202381134033,3.2
0.62786813390822,0.3109540343284607,2.0
0.7846202433155957,0.22950822114944458,3.2
0.7241953489118191,0.1764705777168274,1.6
0.5187646602676514,0.4026845693588257,2.4
0.8513170289531422,0.19718307256698608,3.4
0.8029693940051278,0.3642383813858032,3.0
0.7725481760419525,0.32323235273361206,4.0
0.9071461672675543,0.37037038803100586,4.0
0.8524518484734186,0.37272727489471436,3.6
0.7997681179007442,0.37956202030181885,3.4
0.8195942305852277,0.1666666865348816,3.0
0.8086963704064281,0.30909091234207153,1.6
0.9119326757425423,0.5818182229995728,3.8
0.8374815682295403,0.42145591974258423,3.4
0.6914042349911821,0.26229506731033325,2.0
0.7984485123055609,0.39215683937072754,3.8
0.8415446553270659,0.514285683631897,3.2
0.557805843471152,0.18421053886413574,2.0
0.6427793745867469,0.3285302519798279,3.0
0.5867822633051205,0.3333333134651184,1.6
0.6380600470894413,0.2492917776107788,0.6
0.7900158647767366,0.26877468824386597,3.6
0.7873178429809335,0.4971098303794861,3.6
0.7096668266451504,0.2222222089767456,0.8
0.8457303731939965,0.24074071645736694,1.6
0.7607312206755592,0.1497005820274353,2.4
0.6900104321318543,0.16304349899291992,2.2
0.8137461035833169,0.22038567066192627,1.2
0.6876912095113344,0.2262997031211853,1.6
0.7976555350338919,0.504273533821106,2.4
0.5573362476810096,0.16304349899291992,1.2
0.6941780079695961,0.27513229846954346,3.0
0.45307332973020265,0.1834862232208252,0.6
0.8371479224095358,0.317307710647583,1.8
0.7943758406777277,0.3840000033378601,3.2
0.7884308417034812,0.3548387289047241,3.0
0.8583420275575101,0.5405405759811401,3.8
0.8039676459392767,0.1749049425125122,2.2
0.7943839156196695,0.40625,3.6
0.6721724428626414,0.44736844301223755,2.6
0.8284794001863824,0.3219512104988098,3.8
0.7730033683089802,0.35497838258743286,3.2
0.5915632382128491,0.15189874172210693,0.0
0.46578835398920765,0.04633206129074097,0.0
0.4962592272186961,0.14406782388687134,0.2
0.36876856813488984,0.17301040887832642,0.0
0.6268581453774345,0.09954750537872314,0.2
0.553159224162066,0.14685314893722534,0.2
0.7236696132413268,0.21348315477371216,1.8
0.5799368037089353,0.12142854928970337,1.6
0.5665426205851415,0.1563786268234253,1.4
0.6883694222041855,0.24888890981674194,1.8
0.5348448409789766,0.08294928073883057,0.0
0.6612236331979503,0.20338982343673706,1.0
0.6446858764164479,0.3203125,2.4
0.6913214381331574,0.1485714316368103,1.2
0.7650178143339215,0.26455026865005493,1.8
0.8818514506647459,0.23333334922790527,2.6
0.8052617914017068,0.3320463299751282,1.2
0.6328844041380243,0.13218390941619873,0.2
0.5433089717365185,0.0823969841003418,0.2
0.5124597772867513,0.13970589637756348,0.4
0.5881849059856001,0.07881772518157959,0.2
0.439421848676411,0.11618256568908691,0.2
0.528201197265366,0.07468879222869873,0.0
0.6237675045973066,0.07070708274841309,0.2
0.6120403067670136,0.10784316062927246,0.2
0.6424286358980328,0.15492957830429077,1.6
0.7731980231689016,0.2700729966163635,2.8
0.6702691353802847,0.1198156476020813,1.8
0.9259089076589906,0.6393442749977112,4.0
0.736694067091362,0.2742857336997986,2.4
0.8357926411047971,0.25316452980041504,3.2
0.7975664065816759,0.10563379526138306,1.4
0.7056361786399081,0.27272725105285645,2.2
0.7426751336892177,0.36734694242477417,3.4
0.7409986552301153,0.05504584312438965,1.6
